Trial_number,Trial_time,Gradient_T,X,Y,Z,IS_temperature,IS_hydration,IS_energy,IS_security,IS_mating,Att_temperature,Att_hydration,Att_energy,Att_security,Att_mating
6,0.032,0.95701,0.0,-0.00741,269.99958,0.9095,0.8995,0.1996,1.0,0.8997,0.15654,0.13802,-0.0,-0.0,-0.0
6,0.192,0.95701,0.0,-0.007,269.99958,0.919,0.899,0.1992,1.0,0.8994,0.06474,0.15108,-0.0,0.14754,-0.0
6,0.32,0.95701,0.0,-0.0068,269.99958,0.9285,0.8985,0.1988,1.0,0.8991,-0.0,0.12629,0.35069,0.09314,-0.0
6,0.48,0.95701,0.0,-0.00656,269.99958,0.938,0.898,0.1984,1.0,0.8988,-0.0,0.17116,0.39249,0.13742,-0.0
6,0.608,0.95701,0.00031,0.0033,266.76188,0.9475,0.8975,0.198,1.0,0.8985,-0.0,0.1117,0.46456,0.18046,-0.0
6,0.768,0.95701,-0.00042,0.02003,261.65071,0.957,0.897,0.1976,0.8052,0.8982,0.08231,0.26874,0.37751,0.22099,-0.0
6,0.928,0.95701,-0.00253,0.03599,256.43878,0.9665,0.8965,0.1972,0.8052,0.8979,0.18773,-0.0,0.48586,0.11764,0.00732
6,1.056,0.95701,-0.00539,0.04857,252.91699,0.976,0.896,0.1968,0.8052,0.8976,0.27397,-0.0,0.51241,-0.0,-0.0
6,1.216,0.95955,-0.01004,0.06379,251.66902,0.9855,0.8955,0.1964,0.8052,0.8973,0.32677,-0.0,0.50813,0.1234,-0.0
6,1.344,0.95955,-0.014,0.0759,250.65855,0.995,0.895,0.196,0.8052,0.897,0.2158,0.08495,0.53742,0.08507,0.02916
6,1.504,0.95955,-0.01925,0.09094,249.35056,1.0,0.8945,0.1956,0.8052,0.8967,0.17821,0.06061,0.46903,-0.0,-0.0
6,1.632,0.95955,-0.02356,0.10273,247.7163,1.0,0.894,0.1952,0.8052,0.8964,0.20186,0.11924,0.51873,-0.0,0.10756
6,1.76,0.95955,-0.02813,0.1142,245.88027,1.0,0.8935,0.1948,0.8052,0.8961,-0.0,0.06056,0.65663,0.08859,0.15826
6,1.92,0.95955,-0.03436,0.12837,243.59479,1.0,0.893,0.1944,0.8052,0.8958,0.21197,0.14388,0.64578,0.06637,0.3372
6,2.08,0.95955,-0.04112,0.14234,240.95008,1.0,0.8925,0.194,0.8052,0.8955,0.28169,0.02458,0.62395,-0.0,0.25508
6,2.208,0.95955,-0.04683,0.15312,237.62902,1.0,0.892,0.1936,0.8052,0.8952,0.27165,-0.0,0.81791,0.05013,0.28618
6,2.368,0.95955,-0.05483,0.16611,233.47917,1.0,0.8915,0.1932,0.81302,0.8949,0.44082,-0.0,0.89854,0.08468,0.26379
6,2.528,0.95955,-0.06377,0.17849,229.34672,1.0,0.891,0.1928,0.81302,0.8946,0.30158,0.19535,0.94012,0.07394,0.12722
6,2.656,0.95955,-0.0718,0.1885,224.13098,1.0,0.8905,0.1924,0.81302,0.8943,0.38101,0.50699,0.99806,0.21258,0.05527
6,2.784,0.95701,-0.07934,0.19546,223.68254,1.0,0.89,0.192,0.81302,0.894,0.04521,0.63114,1.0,-0.0,0.01959
6,2.912,0.95701,-0.08798,0.20432,219.50271,1.0,0.8895,0.1916,0.81302,0.8937,0.08945,0.74236,1.0,0.09612,0.16098
6,3.072,0.95701,-0.10034,0.21492,212.0682,1.0,0.889,0.1912,0.81302,0.8934,0.03519,0.61071,1.0,-0.0,-0.0
6,3.2,0.95701,-0.10999,0.2211,210.03089,1.0,0.8885,0.1908,0.81302,0.8931,-0.0,0.5176,0.94507,0.00974,-0.0
6,3.36,0.95701,-0.12332,0.22904,205.20444,1.0,0.888,0.1904,0.81302,0.8928,-0.0,0.42866,1.0,2e-05,0.05075
6,3.488,0.95701,-0.13449,0.23458,201.43622,1.0,0.8875,0.19,0.81302,0.8925,0.06651,0.39058,1.0,-0.0,-0.0
6,3.616,0.95701,-0.14605,0.239,199.90916,1.0,0.887,0.1896,0.81302,0.8922,0.12324,0.37171,0.99908,-0.0,-0.0
6,3.776,0.95701,-0.16054,0.24381,206.6174,1.0,0.8865,0.1892,0.81302,0.8919,-0.0,0.54535,0.97322,0.0494,-0.0
6,3.904,0.95701,-0.17164,0.24888,211.94185,1.0,0.886,0.1888,0.86251,0.8916,-0.0,0.41072,1.0,0.00601,-0.0
6,4.032,0.95701,-0.17986,0.25411,212.32713,1.0,0.8855,0.1884,0.86251,0.8913,0.15802,0.34141,0.94532,0.04311,0.05085
6,4.192,0.95701,-0.19323,0.26305,212.43107,1.0,0.885,0.188,0.86251,0.891,0.11951,0.41284,0.92084,-0.0,0.15552
6,4.352,0.95428,-0.20737,0.27229,208.12698,1.0,0.8845,0.1876,0.86251,0.8907,0.1811,0.29458,0.98461,0.11207,0.22212
6,4.512,0.95428,-0.2221,0.28039,203.94633,1.0,0.884,0.1872,0.86251,0.8904,0.10338,0.40723,0.87452,0.03003,0.13426
6,4.672,0.95428,-0.23724,0.28718,200.63513,1.0,0.8835,0.1868,0.86251,0.8901,0.08151,0.52398,0.83969,0.11413,0.13938
6,4.8,0.95428,-0.24629,0.29071,199.40467,1.0,0.883,0.1864,0.86251,0.8898,0.12933,0.66719,0.84779,-0.0,0.09531
6,4.928,0.95428,-0.26157,0.29616,197.35093,1.0,0.8825,0.186,0.86251,0.8895,0.1462,0.52152,0.83122,-0.0,0.11634
6,5.056,0.95428,-0.27394,0.30013,195.69537,1.0,0.882,0.1856,0.86251,0.8892,0.23554,0.6283,0.82518,-0.0,0.11358
6,5.184,0.95428,-0.28651,0.30322,197.90637,1.0,0.8815,0.1852,0.86251,0.8889,0.13383,0.63839,0.75907,-0.0,0.20749
6,5.344,0.95428,-0.30204,0.30784,205.67247,1.0,0.881,0.1848,0.86251,0.8886,0.2761,0.59956,0.86785,-0.0,0.24985
6,5.504,0.95428,-0.31074,0.31246,204.06582,1.0,0.8805,0.1844,0.93289,0.8883,0.28307,0.49376,0.96406,-0.0,0.26229
6,5.6,0.95428,-0.32118,0.31693,208.5734,1.0,0.88,0.184,0.93289,0.888,0.31104,0.40579,0.85539,0.09083,0.17672
6,5.728,0.95428,-0.33215,0.3232,208.22756,1.0,0.8795,0.1836,0.93289,0.8877,0.37644,0.18439,0.83123,0.09102,0.2502
6,5.888,0.9483,-0.34591,0.33081,205.03215,1.0,0.879,0.1832,0.93289,0.8874,0.35335,0.21942,0.88163,0.05943,0.28147
6,6.016,0.9483,-0.3572,0.33632,202.53871,1.0,0.8785,0.1828,0.93289,0.8871,0.32025,0.26006,0.81099,0.19098,0.26847
6,6.176,0.9483,-0.37156,0.34214,201.23155,1.0,0.878,0.1824,0.93289,0.8868,0.28603,0.23291,0.88668,0.22861,0.19712
6,6.272,0.9483,-0.38002,0.34501,204.74198,1.0,0.8775,0.182,0.93289,0.8865,0.26026,0.0727,0.99948,0.10989,0.0982
6,6.464,0.9483,-0.39634,0.35229,211.75863,1.0,0.877,0.1816,0.93289,0.8862,0.3045,-0.0,1.0,0.00629,0.05942
6,6.56,0.9483,-0.40404,0.35658,215.41953,1.0,0.8765,0.1812,0.93289,0.8859,0.41706,-0.0,0.94283,-0.0,-0.0
6,6.656,0.9483,-0.41142,0.36136,219.15997,1.0,0.876,0.1808,0.93289,0.8856,0.33497,-0.0,0.98388,-0.0,0.03556
6,6.816,0.9483,-0.42382,0.37189,212.95048,1.0,0.8755,0.1804,0.93289,0.8853,0.28222,0.07405,1.0,-0.0,0.10661
6,6.912,0.9483,-0.43191,0.3776,209.35934,1.0,0.875,0.18,0.97913,0.885,0.37803,-0.0,1.0,-0.0,0.19264
6,7.072,0.9483,-0.44491,0.38484,206.51026,1.0,0.8745,0.1796,0.97913,0.8847,0.27475,-0.0,0.9209,0.04167,0.14009
6,7.232,0.9483,-0.45874,0.39214,201.84562,1.0,0.874,0.1792,0.97913,0.8844,0.28009,-0.0,0.81755,-0.0,0.17428
6,7.36,0.94505,-0.47051,0.39721,197.15641,1.0,0.8735,0.1788,0.97913,0.8841,0.28196,0.12112,0.83688,-0.0,0.23857
6,7.488,0.94505,-0.48248,0.40128,192.09225,1.0,0.873,0.1784,0.97913,0.8838,0.26031,0.04108,0.74221,-0.0,0.17093
6,7.648,0.94505,-0.49688,0.4046,188.21961,1.0,0.8725,0.178,0.97913,0.8835,0.19014,0.04035,0.97642,-0.0,0.16275
