Trial_number,Trial_time,Gradient_T,X,Y,Z,IS_temperature,IS_hydration,IS_energy,IS_security,IS_mating,Att_temperature,Att_hydration,Att_energy,Att_security,Att_mating
13,0.032,0.95701,0.0,-0.00758,269.99958,0.9095,0.8995,0.1996,1.0,0.8997,0.10974,0.11775,-0.0,0.20754,0.00524
13,0.16,0.95701,-4e-05,0.00221,270.41183,0.919,0.899,0.1992,1.0,0.8994,0.08972,-0.0,0.13,0.22218,-0.0
13,0.256,0.95701,-1e-05,0.01177,270.8037,0.9285,0.8985,0.1988,1.0,0.8991,0.16,0.08236,0.23867,0.23698,0.10117
13,0.416,0.95701,0.00018,0.02762,271.45103,0.938,0.898,0.1984,1.0,0.8988,0.12005,0.25472,0.43905,0.35138,-0.0
13,0.544,0.95701,0.00047,0.04027,271.96382,0.9475,0.8975,0.198,1.0,0.8985,0.07105,0.20108,0.55506,0.21212,0.06142
13,0.672,0.95701,0.00094,0.05269,271.71602,0.957,0.897,0.1976,1.0,0.8982,-0.0,0.34277,0.3884,0.36042,-0.0
13,0.832,0.95701,0.00143,0.06774,271.077,0.9665,0.8965,0.1972,0.8052,0.8979,-0.0,0.36422,0.11491,0.47114,0.08316
13,0.96,0.95701,0.0017,0.07982,270.57602,0.976,0.896,0.1968,0.8052,0.8976,0.06911,0.50357,0.29465,0.48484,0.17743
13,1.088,0.95701,0.00186,0.09199,270.0826,0.9855,0.8955,0.1964,0.8052,0.8973,0.05619,0.44239,0.17656,0.41119,0.16675
13,1.216,0.95955,0.00221,0.10477,265.76035,0.995,0.895,0.196,0.8052,0.897,0.11464,0.42451,0.06488,0.33924,0.22783
13,1.312,0.95955,0.00183,0.11449,262.48936,1.0,0.8945,0.1956,0.8052,0.8967,0.21475,0.31329,0.28511,0.45621,0.29104
13,1.408,0.95955,0.00093,0.12397,259.06459,1.0,0.894,0.1952,0.8052,0.8964,0.25053,0.27745,0.25678,0.41495,0.12796
13,1.504,0.95955,-0.00053,0.13336,255.57099,1.0,0.8935,0.1948,0.8052,0.8961,0.16213,0.34043,0.53866,0.53817,0.18165
13,1.632,0.95955,-0.00256,0.1426,252.10228,1.0,0.893,0.1944,0.8052,0.8958,0.1048,0.58965,0.66769,0.48471,0.21586
13,1.728,0.95955,-0.00565,0.1532,249.02117,1.0,0.8925,0.194,0.8052,0.8955,0.21336,0.65776,0.6577,0.52755,0.22368
